Outlet_Establishment_Year,Outlet_ID,Outlet_Location_Type,Outlet_Size,Outlet_Age,Outlet_Type
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2014,OUT013,Tier 3,High,11,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,Small,14,Grocery Store
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2018,OUT019,Tier 1,Small,7,Grocery Store
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2011,OUT010,Tier 3,Small,14,Grocery Store
2011,OUT010,Tier 3,Small,14,Grocery Store
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2014,OUT013,Tier 3,High,11,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2014,OUT013,Tier 3,High,11,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2015,OUT045,Tier 2,High,10,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,High,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2015,OUT045,Tier 2,Medium,10,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,Medium,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,High,14,Grocery Store
2011,OUT010,Tier 3,Small,14,Grocery Store
2011,OUT010,Tier 3,Small,14,Grocery Store
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2014,OUT013,Tier 3,High,11,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2014,OUT013,Tier 3,High,11,Supermarket Type1
2018,OUT019,Tier 1,Small,7,Grocery Store
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT019,Tier 1,Small,7,Grocery Store
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2014,OUT013,Tier 3,High,11,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2020,OUT017,Tier 2,Small,5,Supermarket Type1
2016,OUT046,Tier 1,Small,9,Supermarket Type1
2015,OUT045,Tier 2,Small,10,Supermarket Type1
2011,OUT010,Tier 3,Small,14,Grocery Store
2018,OUT019,Tier 1,Small,7,Grocery Store
2020,OUT017,Tier 2,Medium,5,Supermarket Type1
2012,OUT049,Tier 1,Medium,13,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2017,OUT035,Tier 2,Small,8,Supermarket Type1
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2022,OUT018,Tier 3,Medium,3,Supermarket Type2
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
2018,OUT027,Tier 3,Medium,7,Supermarket Type3
